Opportunity Number,Supplies Subgroup,Supplies Group,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Deal Size Category,Lat,Lon,Country_Code,Country
6854628,Garage & Car Care,Car Accessories,Loss,3,54,54,131578,1,4,0,Unknown,5,-23.079732,-48.867188,2,Brasil
6854786,Garage & Car Care,Car Accessories,Loss,2,48,48,100000,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6854918,Motorcycle Parts,Performance & Non-auto,Loss,3,12,12,400000,5,5,0,Known,6,-11.005904,-47.109375,2,Brasil
6854968,Performance Parts,Performance & Non-auto,Loss,3,43,43,174418,1,3,0,Unknown,5,-23.079732,-48.867188,2,Brasil
6857874,Garage & Car Care,Car Accessories,Loss,3,6,6,48684,3,1,0,Unknown,3,-7.536764,-57.304687,2,Brasil
6857943,Exterior Accessories,Car Accessories,Loss,2,4,4,11627,3,1,0,Unknown,2,-11.005904,-47.109375,2,Brasil
6858503,Replacement Parts,Car Accessories,Loss,2,4,4,15,1,1,1,None,1,-7.536764,-57.304687,2,Brasil
6858608,Motorcycle Parts,Performance & Non-auto,Loss,2,2,2,1267,1,1,0,Unknown,1,-11.005904,-47.109375,2,Brasil
6858625,Exterior Accessories,Car Accessories,Loss,2,31,31,108433,1,1,0,Known,5,-23.079732,-48.867188,2,Brasil
6859037,Exterior Accessories,Car Accessories,Loss,2,23,23,400000,5,5,0,Unknown,6,-7.536764,-57.304687,2,Brasil
6859059,Exterior Accessories,Car Accessories,Loss,2,24,24,116279,1,1,0,Known,5,-23.079732,-48.867188,2,Brasil
6859071,Towing & Hitches,Car Accessories,Loss,4,63,63,101000,1,4,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6862015,Motorcycle Parts,Performance & Non-auto,Loss,5,45,42,25000,3,3,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6862185,Garage & Car Care,Car Accessories,Won,5,6,2,0,1,1,0,Unknown,1,-23.079732,-48.867188,2,Brasil
6862185,Garage & Car Care,Car Accessories,Won,5,6,2,105000,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6862258,Interior Accessories,Car Accessories,Loss,4,27,27,84337,4,5,0,Known,4,-7.536764,-57.304687,2,Brasil
6862644,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,52325,4,4,0,Known,4,-7.536764,-57.304687,2,Brasil
6862658,Tires & Wheels,Tires & Wheels,Loss,2,14,14,100000,1,3,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6862681,Exterior Accessories,Car Accessories,Loss,2,38,38,90361,3,2,0,Known,4,-7.536764,-57.304687,2,Brasil
6862707,Replacement Parts,Car Accessories,Won,3,5,2,68000,5,5,0,Known,4,-7.536764,-57.304687,2,Brasil
6866496,Shelters & RV,Performance & Non-auto,Loss,3,41,0,622883,5,1,0,Unknown,7,-7.536764,-57.304687,2,Brasil
6866676,Garage & Car Care,Car Accessories,Loss,2,40,40,50000,1,1,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6866702,Motorcycle Parts,Performance & Non-auto,Won,3,15,15,216867,1,2,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6870636,Garage & Car Care,Car Accessories,Loss,2,22,22,60000,1,5,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6870787,Exterior Accessories,Car Accessories,Loss,9,63,63,200000,5,4,0,Known,5,-11.005904,-47.109375,2,Brasil
6870810,Interior Accessories,Car Accessories,Loss,3,39,39,84337,3,2,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6870932,Motorcycle Parts,Performance & Non-auto,Loss,3,1,1,125000,3,4,0,None,5,-11.005904,-47.109375,2,Brasil
6870992,Garage & Car Care,Car Accessories,Loss,2,8,8,200000,1,1,0,None,5,-23.079732,-48.867188,2,Brasil
6870998,Exterior Accessories,Car Accessories,Loss,3,5,5,100000,1,5,0,None,5,-7.536764,-57.304687,2,Brasil
6871090,Exterior Accessories,Car Accessories,Loss,3,13,13,5813,4,1,0,Known,1,-23.079732,-48.867188,2,Brasil
6871229,Garage & Car Care,Car Accessories,Loss,3,40,40,200000,5,3,0,Known,5,-23.079732,-48.867188,2,Brasil
6871520,Exterior Accessories,Car Accessories,Loss,4,32,32,13157,2,1,0,Unknown,2,-11.005904,-47.109375,2,Brasil
6871561,Exterior Accessories,Car Accessories,Loss,4,32,32,13157,2,1,0,Unknown,2,-11.005904,-47.109375,2,Brasil
6874652,Exterior Accessories,Car Accessories,Loss,2,41,41,116279,1,1,0,Known,5,-7.536764,-57.304687,2,Brasil
6875005,Shelters & RV,Performance & Non-auto,Loss,2,1,1,40000,1,1,0,Unknown,3,-7.536764,-57.304687,2,Brasil
6875180,Towing & Hitches,Car Accessories,Loss,3,25,25,1,2,5,0,Known,1,-11.005904,-47.109375,2,Brasil
6875395,Garage & Car Care,Car Accessories,Won,3,11,11,163181,2,1,2,Unknown,5,-11.005904,-47.109375,2,Brasil
6878306,Exterior Accessories,Car Accessories,Loss,4,18,18,144578,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6878328,Replacement Parts,Car Accessories,Won,3,33,25,78947,1,1,1,Unknown,4,-23.079732,-48.867188,2,Brasil
6878348,Towing & Hitches,Car Accessories,Loss,4,5,5,2704,3,3,0,Unknown,1,-7.536764,-57.304687,2,Brasil
6878445,Exterior Accessories,Car Accessories,Loss,2,22,22,10000,1,4,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6878700,Shelters & RV,Performance & Non-auto,Loss,2,25,25,232558,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6878706,Exterior Accessories,Car Accessories,Loss,2,25,25,100000,1,3,0,Known,5,-23.079732,-48.867188,2,Brasil
6879147,Replacement Parts,Car Accessories,Loss,3,81,81,150000,4,4,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6879236,Shelters & RV,Performance & Non-auto,Loss,4,23,23,100000,1,4,0,Known,5,-7.536764,-57.304687,2,Brasil
6882346,Towing & Hitches,Car Accessories,Won,1,0,0,111767,5,4,0,Unknown,5,-23.079732,-48.867188,2,Brasil
6882536,Motorcycle Parts,Performance & Non-auto,Won,6,5,5,23000,1,1,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6882661,Shelters & RV,Performance & Non-auto,Won,4,4,2,172844,1,1,3,Unknown,5,-11.005904,-47.109375,2,Brasil
6882960,Garage & Car Care,Car Accessories,Won,5,27,27,148744,5,2,3,Known,5,-7.536764,-57.304687,2,Brasil
6883007,Shelters & RV,Performance & Non-auto,Loss,3,71,71,0,5,2,0,Unknown,1,-7.536764,-57.304687,2,Brasil
6883027,Batteries & Accessories,Car Accessories,Loss,3,2,2,12499,4,5,2,Known,2,-23.079732,-48.867188,2,Brasil
6883062,Garage & Car Care,Car Accessories,Loss,2,7,7,200000,4,4,0,Known,5,-7.536764,-57.304687,2,Brasil
6883084,Garage & Car Care,Car Accessories,Won,3,14,14,175000,4,3,1,Known,5,-11.005904,-47.109375,2,Brasil
6887336,Exterior Accessories,Car Accessories,Won,1,0,0,12674,1,1,0,Unknown,2,-11.005904,-47.109375,2,Brasil
6887578,Garage & Car Care,Car Accessories,Loss,4,24,24,50000,4,2,1,Known,4,-23.079732,-48.867188,2,Brasil
6887640,Exterior Accessories,Car Accessories,Loss,2,2,2,232558,5,1,4,Unknown,5,-23.079732,-48.867188,2,Brasil
6887775,Exterior Accessories,Car Accessories,Loss,3,24,24,25000,2,2,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6887783,Exterior Accessories,Car Accessories,Won,3,5,5,19078,1,1,0,Unknown,2,-11.005904,-47.109375,2,Brasil
6891910,Motorcycle Parts,Performance & Non-auto,Won,2,0,0,71627,1,1,3,Unknown,4,-23.079732,-48.867188,2,Brasil
6892104,Shelters & RV,Performance & Non-auto,Loss,3,24,24,100000,5,1,0,Known,5,-23.079732,-48.867188,2,Brasil
6892231,Replacement Parts,Car Accessories,Loss,4,15,15,39156,1,1,0,None,3,-7.536764,-57.304687,2,Brasil
6892260,Batteries & Accessories,Car Accessories,Loss,2,6,6,120000,3,3,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6892926,Motorcycle Parts,Performance & Non-auto,Won,2,5,0,60000,1,1,2,None,4,-11.005904,-47.109375,2,Brasil
6892940,Exterior Accessories,Car Accessories,Loss,2,14,14,300000,5,4,0,None,6,-23.079732,-48.867188,2,Brasil
6892948,Exterior Accessories,Car Accessories,Loss,2,0,0,1730,1,4,0,Unknown,1,-7.536764,-57.304687,2,Brasil
6895727,Garage & Car Care,Car Accessories,Loss,3,24,24,602409,4,4,0,Unknown,7,-11.005904,-47.109375,2,Brasil
6896592,Exterior Accessories,Car Accessories,Loss,5,68,68,9689,5,1,0,Unknown,1,-23.079732,-48.867188,2,Brasil
6896651,Exterior Accessories,Car Accessories,Loss,2,1,1,100000,5,5,3,Unknown,5,-7.536764,-57.304687,2,Brasil
6899640,Exterior Accessories,Car Accessories,Loss,2,0,0,60240,2,1,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6899679,Exterior Accessories,Car Accessories,Loss,2,0,0,54216,1,4,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6899855,Exterior Accessories,Car Accessories,Won,3,2,2,5855,4,2,0,Unknown,1,-7.536764,-57.304687,2,Brasil
6900079,Batteries & Accessories,Car Accessories,Loss,2,29,29,200000,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6900104,Shelters & RV,Performance & Non-auto,Loss,2,21,21,263157,3,2,0,Known,6,-23.079732,-48.867188,2,Brasil
6901020,Shelters & RV,Performance & Non-auto,Won,5,5,4,10000,5,1,0,None,2,-7.536764,-57.304687,2,Brasil
6904973,Towing & Hitches,Car Accessories,Loss,2,1,1,0,1,1,0,Unknown,1,-11.005904,-47.109375,2,Brasil
6905253,Interior Accessories,Car Accessories,Loss,4,11,11,110000,1,5,0,Known,5,-23.079732,-48.867188,2,Brasil
6905337,Batteries & Accessories,Car Accessories,Loss,2,4,4,15000,4,2,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6909002,Motorcycle Parts,Performance & Non-auto,Won,3,2,2,18000,3,3,0,Unknown,2,-23.079732,-48.867188,2,Brasil
6909238,Exterior Accessories,Car Accessories,Loss,2,0,0,30120,1,1,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6909663,Exterior Accessories,Car Accessories,Loss,3,9,9,200000,1,1,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6909667,Garage & Car Care,Car Accessories,Loss,2,24,24,60000,5,1,0,Unknown,4,-23.079732,-48.867188,2,Brasil
6909724,Performance Parts,Performance & Non-auto,Loss,2,7,7,500000,1,1,0,Known,7,-7.536764,-57.304687,2,Brasil
6909777,Performance Parts,Performance & Non-auto,Loss,3,23,23,1000000,4,5,0,Known,7,-11.005904,-47.109375,2,Brasil
6909823,Motorcycle Parts,Performance & Non-auto,Loss,2,12,12,20000,2,2,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6909831,Garage & Car Care,Car Accessories,Loss,2,23,23,50000,5,3,0,Known,4,-7.536764,-57.304687,2,Brasil
6910249,Motorcycle Parts,Performance & Non-auto,Loss,6,23,23,125000,2,2,0,Unknown,5,-23.079732,-48.867188,2,Brasil
6910256,Exterior Accessories,Car Accessories,Loss,2,20,20,60000,1,4,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6910271,Interior Accessories,Car Accessories,Loss,2,23,23,300000,4,2,0,Unknown,6,-7.536764,-57.304687,2,Brasil
6910272,Interior Accessories,Car Accessories,Loss,2,22,22,300000,1,4,0,Unknown,6,-11.005904,-47.109375,2,Brasil
6910997,Batteries & Accessories,Car Accessories,Loss,2,2,2,110000,1,1,0,Known,5,-11.005904,-47.109375,2,Brasil
6914166,Towing & Hitches,Car Accessories,Loss,2,4,4,120000,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6914209,Exterior Accessories,Car Accessories,Loss,2,5,5,0,3,1,0,Unknown,1,-23.079732,-48.867188,2,Brasil
6914219,Exterior Accessories,Car Accessories,Loss,2,21,21,10000,1,1,0,Unknown,2,-23.079732,-48.867188,2,Brasil
6914219,Exterior Accessories,Car Accessories,Loss,2,21,21,10000,1,1,0,Unknown,2,-23.079732,-48.867188,2,Brasil
6914224,Exterior Accessories,Car Accessories,Loss,4,28,28,200000,5,5,0,None,5,-11.005904,-47.109375,2,Brasil
6914231,Garage & Car Care,Car Accessories,Loss,2,23,23,200000,1,2,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6914248,Exterior Accessories,Car Accessories,Loss,3,6,6,10000,1,4,0,None,2,-23.079732,-48.867188,2,Brasil
6914298,Exterior Accessories,Car Accessories,Loss,2,12,12,20000,3,1,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6914304,Exterior Accessories,Car Accessories,Loss,2,21,21,10000,1,5,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6914372,Replacement Parts,Car Accessories,Loss,2,5,5,3000,1,1,2,Unknown,1,-23.079732,-48.867188,2,Brasil
6914803,Garage & Car Care,Car Accessories,Loss,3,3,3,15000,3,1,0,Known,2,-11.005904,-47.109375,2,Brasil
6914810,Towing & Hitches,Car Accessories,Won,3,5,5,25000,1,1,1,Unknown,3,-7.536764,-57.304687,2,Brasil
6918319,Batteries & Accessories,Car Accessories,Loss,2,0,0,0,4,4,0,Unknown,1,-11.005904,-47.109375,2,Brasil
6918743,Replacement Parts,Car Accessories,Won,3,4,4,18000,4,3,2,None,2,-23.079732,-48.867188,2,Brasil
6918753,Motorcycle Parts,Performance & Non-auto,Loss,2,29,29,100000,5,4,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6918758,Replacement Parts,Car Accessories,Loss,2,0,0,263157,1,2,0,Unknown,6,-23.079732,-48.867188,2,Brasil
6918832,Batteries & Accessories,Car Accessories,Won,3,4,4,510000,5,1,0,Known,7,-11.005904,-47.109375,2,Brasil
6918869,Garage & Car Care,Car Accessories,Loss,5,49,49,60000,1,4,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6919058,Motorcycle Parts,Performance & Non-auto,Loss,2,2,2,125000,1,1,0,Known,5,-7.536764,-57.304687,2,Brasil
6919059,Replacement Parts,Car Accessories,Loss,2,13,13,50000,1,1,0,Unknown,4,-23.079732,-48.867188,2,Brasil
6919067,Performance Parts,Performance & Non-auto,Loss,3,33,33,150000,3,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6919181,Replacement Parts,Car Accessories,Loss,2,13,13,50000,4,1,0,Unknown,4,-23.079732,-48.867188,2,Brasil
6922618,Garage & Car Care,Car Accessories,Loss,2,18,18,30000,4,1,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6922675,Exterior Accessories,Car Accessories,Loss,3,12,12,27108,4,4,0,Unknown,3,-23.079732,-48.867188,2,Brasil
6922700,Exterior Accessories,Car Accessories,Loss,2,42,42,26315,1,4,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6922709,Garage & Car Care,Car Accessories,Loss,2,43,43,67395,5,1,2,Unknown,4,-11.005904,-47.109375,2,Brasil
6923685,Batteries & Accessories,Car Accessories,Won,2,8,8,7000,4,1,0,Unknown,1,-11.005904,-47.109375,2,Brasil
6927176,Motorcycle Parts,Performance & Non-auto,Loss,2,0,0,11627,1,1,0,Unknown,2,-23.079732,-48.867188,2,Brasil
6927707,Shelters & RV,Performance & Non-auto,Loss,2,2,2,500000,1,1,0,Unknown,7,-7.536764,-57.304687,2,Brasil
6927838,Exterior Accessories,Car Accessories,Loss,2,2,2,131578,2,1,0,Unknown,5,-23.079732,-48.867188,2,Brasil
6927875,Replacement Parts,Car Accessories,Loss,3,11,11,60240,1,1,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6927882,Replacement Parts,Car Accessories,Loss,2,19,19,96385,5,5,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6927895,Replacement Parts,Car Accessories,Loss,2,32,32,60240,1,1,0,Unknown,4,-23.079732,-48.867188,2,Brasil
6927896,Replacement Parts,Car Accessories,Won,2,2,0,1222,1,1,1,Unknown,1,-7.536764,-57.304687,2,Brasil
6928163,Shelters & RV,Performance & Non-auto,Loss,7,14,14,500000,1,1,0,Known,7,-7.536764,-57.304687,2,Brasil
6928204,Replacement Parts,Car Accessories,Loss,4,8,8,5000,1,1,0,Known,1,-7.536764,-57.304687,2,Brasil
6931630,Batteries & Accessories,Car Accessories,Loss,3,25,25,100000,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6931647,Garage & Car Care,Car Accessories,Won,2,4,4,5813,5,2,0,Unknown,1,-23.079732,-48.867188,2,Brasil
6932249,Performance Parts,Performance & Non-auto,Loss,2,67,67,348837,1,1,0,Unknown,6,-7.536764,-57.304687,2,Brasil
6932423,Exterior Accessories,Car Accessories,Loss,2,9,9,100000,5,4,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6933300,Motorcycle Parts,Performance & Non-auto,Loss,3,6,6,174418,5,3,0,Known,5,-7.536764,-57.304687,2,Brasil
6936038,Motorcycle Parts,Performance & Non-auto,Loss,2,25,25,65789,2,2,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6936427,Batteries & Accessories,Car Accessories,Loss,2,38,38,10000,4,3,0,Unknown,2,-23.079732,-48.867188,2,Brasil
6936428,Garage & Car Care,Car Accessories,Loss,2,20,20,130000,3,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6936624,Motorcycle Parts,Performance & Non-auto,Loss,2,45,45,125000,1,4,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6936742,Towing & Hitches,Car Accessories,Loss,3,36,36,99000,1,1,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6936931,Exterior Accessories,Car Accessories,Loss,3,3,3,60240,4,5,0,Known,4,-23.079732,-48.867188,2,Brasil
6937360,Exterior Accessories,Car Accessories,Loss,2,20,20,10000,1,3,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6940488,Exterior Accessories,Car Accessories,Won,3,4,4,11000,1,5,0,Unknown,2,-23.079732,-48.867188,2,Brasil
6940703,Shelters & RV,Performance & Non-auto,Loss,3,3,3,90000,5,1,0,Known,4,-23.079732,-48.867188,2,Brasil
6940746,Shelters & RV,Performance & Non-auto,Loss,2,1,1,90000,1,1,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6941153,Towing & Hitches,Car Accessories,Loss,2,5,5,39473,1,1,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6942772,Garage & Car Care,Car Accessories,Loss,2,19,19,50000,1,1,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6942773,Exterior Accessories,Car Accessories,Loss,3,13,13,9418,1,1,0,Unknown,1,-23.079732,-48.867188,2,Brasil
6942928,Exterior Accessories,Car Accessories,Loss,5,39,39,60240,4,4,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6943006,Shelters & RV,Performance & Non-auto,Loss,4,21,21,500000,1,1,0,Unknown,7,-11.005904,-47.109375,2,Brasil
6943364,Towing & Hitches,Car Accessories,Loss,2,22,22,120481,2,3,0,Known,5,-23.079732,-48.867188,2,Brasil
6944029,Exterior Accessories,Car Accessories,Won,5,10,9,172000,1,1,0,Known,5,-11.005904,-47.109375,2,Brasil
6944294,Exterior Accessories,Car Accessories,Loss,2,7,7,58139,1,1,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6948794,Performance Parts,Performance & Non-auto,Loss,2,31,31,115000,5,1,0,Known,5,-23.079732,-48.867188,2,Brasil
6948911,Motorcycle Parts,Performance & Non-auto,Won,3,6,6,100000,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6949131,Towing & Hitches,Car Accessories,Loss,2,0,0,70000,1,2,0,Unknown,4,-23.079732,-48.867188,2,Brasil
6949166,Batteries & Accessories,Car Accessories,Loss,3,12,2,17441,1,5,3,Known,2,-7.536764,-57.304687,2,Brasil
6949359,Interior Accessories,Car Accessories,Loss,2,0,0,25000,1,1,0,Unknown,3,-23.079732,-48.867188,2,Brasil
6949428,Performance Parts,Performance & Non-auto,Loss,3,69,69,186046,5,5,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6953478,Replacement Parts,Car Accessories,Loss,3,42,42,200000,1,1,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6953485,Exterior Accessories,Car Accessories,Loss,2,1,1,140000,1,3,0,None,5,-7.536764,-57.304687,2,Brasil
6953525,Batteries & Accessories,Car Accessories,Loss,2,13,13,0,1,3,4,Known,1,-23.079732,-48.867188,2,Brasil
6953636,Exterior Accessories,Car Accessories,Loss,2,2,2,20000,4,5,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6953852,Batteries & Accessories,Car Accessories,Won,4,47,40,393000,1,5,4,Known,6,-23.079732,-48.867188,2,Brasil
6953866,Replacement Parts,Car Accessories,Loss,2,38,38,131578,5,2,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6954551,Motorcycle Parts,Performance & Non-auto,Loss,4,35,35,60000,1,3,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6957569,Motorcycle Parts,Performance & Non-auto,Loss,2,13,13,65789,5,3,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6957655,Replacement Parts,Car Accessories,Loss,2,16,16,120481,1,3,2,Known,5,-23.079732,-48.867188,2,Brasil
6957690,Shelters & RV,Performance & Non-auto,Loss,2,23,23,300000,5,4,0,Known,6,-23.079732,-48.867188,2,Brasil
6957780,Batteries & Accessories,Car Accessories,Loss,4,47,47,105001,5,5,0,Known,5,-11.005904,-47.109375,2,Brasil
6957837,Shelters & RV,Performance & Non-auto,Loss,2,19,19,302631,4,3,0,Known,6,-11.005904,-47.109375,2,Brasil
6957908,Exterior Accessories,Car Accessories,Loss,2,17,17,65789,1,1,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6957922,Exterior Accessories,Car Accessories,Won,3,1,1,7519,5,4,0,Unknown,1,-7.536764,-57.304687,2,Brasil
6958286,Replacement Parts,Car Accessories,Loss,3,12,12,2000,3,1,0,Known,1,-7.536764,-57.304687,2,Brasil
6958416,Replacement Parts,Car Accessories,Loss,3,16,16,203480,5,5,0,Known,5,-7.536764,-57.304687,2,Brasil
6960787,Exterior Accessories,Car Accessories,Won,3,7,0,10526,1,5,0,Unknown,2,-7.536764,-57.304687,2,Brasil
6960935,Motorcycle Parts,Performance & Non-auto,Loss,2,24,24,30120,1,1,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6961202,Motorcycle Parts,Performance & Non-auto,Loss,5,39,39,34883,1,2,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6961299,Batteries & Accessories,Car Accessories,Loss,3,44,44,180000,4,4,0,None,5,-23.079732,-48.867188,2,Brasil
6961311,Shelters & RV,Performance & Non-auto,Won,5,6,4,10000,4,5,4,Unknown,2,-23.079732,-48.867188,2,Brasil
6961608,Garage & Car Care,Car Accessories,Loss,3,7,7,232558,1,1,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6961622,Shelters & RV,Performance & Non-auto,Loss,3,22,22,29069,4,1,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6961883,Interior Accessories,Car Accessories,Loss,2,18,18,75000,4,5,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6961905,Interior Accessories,Car Accessories,Loss,2,63,63,100000,4,4,0,Unknown,5,-23.079732,-48.867188,2,Brasil
6964887,Exterior Accessories,Car Accessories,Loss,3,23,23,70000,1,1,0,Unknown,4,-23.079732,-48.867188,2,Brasil
6964910,Garage & Car Care,Car Accessories,Loss,2,38,38,13157,5,3,0,Unknown,2,-11.005904,-47.109375,2,Brasil
6965132,Garage & Car Care,Car Accessories,Loss,2,24,24,25000,1,1,0,Unknown,3,-23.079732,-48.867188,2,Brasil
6965239,Batteries & Accessories,Car Accessories,Loss,2,49,49,174418,5,1,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6965293,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,100000,5,1,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6966054,Motorcycle Parts,Performance & Non-auto,Loss,4,42,42,108433,4,4,0,Known,5,-23.079732,-48.867188,2,Brasil
6968844,Garage & Car Care,Car Accessories,Loss,2,3,3,78947,1,3,0,Unknown,4,-7.536764,-57.304687,2,Brasil
6968860,Batteries & Accessories,Car Accessories,Loss,3,19,19,100000,1,1,0,Unknown,5,-7.536764,-57.304687,2,Brasil
6968867,Motorcycle Parts,Performance & Non-auto,Loss,3,6,6,42105,1,1,0,Unknown,3,-23.079732,-48.867188,2,Brasil
6968939,Batteries & Accessories,Car Accessories,Loss,3,41,41,116279,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6969099,Motorcycle Parts,Performance & Non-auto,Loss,2,16,16,30120,1,1,0,Unknown,3,-7.536764,-57.304687,2,Brasil
6969233,Shelters & RV,Performance & Non-auto,Loss,2,34,34,110000,1,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6969241,Performance Parts,Performance & Non-auto,Loss,2,11,11,42000,1,3,0,Known,3,-11.005904,-47.109375,2,Brasil
6969270,Shelters & RV,Performance & Non-auto,Loss,2,18,18,174418,1,2,0,Known,5,-23.079732,-48.867188,2,Brasil
6969306,Motorcycle Parts,Performance & Non-auto,Loss,3,16,11,12048,1,1,0,Known,2,-7.536764,-57.304687,2,Brasil
6970184,Batteries & Accessories,Car Accessories,Loss,2,23,23,482558,5,2,0,Known,6,-7.536764,-57.304687,2,Brasil
6973794,Motorcycle Parts,Performance & Non-auto,Loss,3,15,15,60240,4,3,0,Unknown,4,-23.079732,-48.867188,2,Brasil
6974041,Shelters & RV,Performance & Non-auto,Loss,2,30,30,78947,5,4,4,Known,4,-7.536764,-57.304687,2,Brasil
6974148,Garage & Car Care,Car Accessories,Won,3,4,4,29000,1,1,2,Known,3,-11.005904,-47.109375,2,Brasil
6974354,Shelters & RV,Performance & Non-auto,Loss,3,41,41,110000,1,2,0,Known,5,-23.079732,-48.867188,2,Brasil
6974552,Batteries & Accessories,Car Accessories,Loss,3,9,9,150000,2,1,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6974574,Replacement Parts,Car Accessories,Loss,4,3,3,3488,3,2,0,Known,1,-11.005904,-47.109375,2,Brasil
6974574,Replacement Parts,Car Accessories,Loss,4,3,3,3488,3,2,0,Known,1,-11.005904,-47.109375,2,Brasil
6974577,Replacement Parts,Car Accessories,Loss,3,73,73,200000,5,3,0,Unknown,5,-11.005904,-47.109375,2,Brasil
6974646,Replacement Parts,Car Accessories,Loss,2,1,1,65000,5,1,0,None,4,-11.005904,-47.109375,2,Brasil
6974660,Replacement Parts,Car Accessories,Loss,2,8,8,130000,1,1,2,Unknown,5,-11.005904,-47.109375,2,Brasil
6974667,Replacement Parts,Car Accessories,Loss,2,1,1,200000,5,1,0,None,5,-11.005904,-47.109375,2,Brasil
6977910,Performance Parts,Performance & Non-auto,Loss,2,23,23,40000,1,1,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6977911,Motorcycle Parts,Performance & Non-auto,Loss,2,19,19,58139,5,1,0,Unknown,4,-11.005904,-47.109375,2,Brasil
6977921,Exterior Accessories,Car Accessories,Loss,3,22,22,11627,4,2,0,Unknown,2,-11.005904,-47.109375,2,Brasil
6978069,Garage & Car Care,Car Accessories,Loss,2,24,24,25000,1,1,0,Unknown,3,-11.005904,-47.109375,2,Brasil
6978075,Garage & Car Care,Car Accessories,Loss,2,24,24,25000,1,1,0,Unknown,3,-23.079732,-48.867188,2,Brasil
6978082,Garage & Car Care,Car Accessories,Loss,2,24,24,25000,1,1,0,Unknown,3,-23.079732,-48.867188,2,Brasil
